State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Year,Rainfall,Temperature,WeatherAggregation,WeatherDataSource
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2020,1596.2,25.2,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2021,1972.1,25.55,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2022,1561.7,25.25,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Bankura,23.141454166601765,87.13443709055578,Bankura,geoBoundaries India ADM2 centroid,2023,1405.7,26.28,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2013,1090.8,25.06,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2014,1294.5,25.38,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2015,1689.5,25.5,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2016,1406.4,25.88,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2017,1736.1,25.37,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2018,1435.1,25.03,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2019,1577.4,25.37,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2020,2139.6,24.99,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2021,1747.3,25.54,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2022,1579.5,25.33,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
West Bengal,Murshidabad,24.173210084862134,88.23199173358435,Murshidabad,geoBoundaries India ADM2 centroid,2023,1656.9,26.09,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2013,1070.9,27.53,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2014,874.7,28.01,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2015,1118.4,28.16,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2016,1332.9,28.11,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2017,1073.2,28.26,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2018,996.7,28.09,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
Andhra Pradesh,Krishna,16.565652824874974,80.80563020824229,Krishna,geoBoundaries India ADM2 centroid,2019,1004.8,28.51,Calendar year; proxy for DES reporting year starting this year,Open-Meteo Historical Weather API
